type,intensity,zone_id,zone_name,lat,lng,risk_score,hour,dow,created_at,validation_status,is_anonymous
Dark Zone,Medium,puente-madera,Puente Madera,4.858746422514302,-74.03121042119105,43,16,2,2026-05-06 16:42:00,verified,False
Dark Zone,Medium,porton-cafe,Portón Café,4.863387301279421,-74.03760752711308,60,7,0,2026-01-26 07:06:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858740750221932,-74.03161195204075,86,17,5,2025-12-13 17:53:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858694415509869,-74.03131227100188,41,19,2,2025-12-31 19:35:00,verified,True
Dark Zone,Medium,porton-cafe,Portón Café,4.86348346757068,-74.03757463244594,32,5,2,2026-04-08 05:23:00,verified,True
Suspicious Person,Medium,ad-portas,Ad Portas,4.863728836083119,-74.03161857789112,50,8,3,2026-02-19 08:15:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858628082573325,-74.0317890741484,44,21,0,2025-12-29 21:15:00,discarded,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858606457096695,-74.03166645545383,78,8,1,2026-01-27 08:44:00,pending,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863761215257044,-74.03096852563951,52,11,0,2026-03-02 11:55:00,pending,False
Maintenance,Information,ad-portas,Ad Portas,4.863717265117217,-74.03175277836631,5,5,0,2026-01-26 05:38:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.85866969722491,-74.031493953958,79,13,4,2025-12-19 13:36:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858636527807044,-74.03144569053153,49,18,3,2026-05-14 18:47:00,verified,False
Suspicious Person,Medium,porton-cafe,Portón Café,4.863315264392476,-74.03711415315564,59,11,1,2026-04-28 11:54:00,discarded,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858833206389408,-74.03168787749095,66,18,1,2026-03-03 18:35:00,verified,False
Theft/Robbery,High,ad-portas,Ad Portas,4.863219444681162,-74.03148825716248,100,14,0,2026-01-12 14:37:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.8584768927349735,-74.03161925954592,51,18,1,2026-03-31 18:39:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858574304869177,-74.0318161326862,80,8,4,2026-01-09 08:02:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863321308885882,-74.03153356302775,38,17,3,2026-04-30 17:45:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858984986881003,-74.03166265065846,76,19,2,2025-12-17 19:14:00,discarded,False
Dark Zone,Medium,puente-madera,Puente Madera,4.8588377034434735,-74.03175217286328,52,20,0,2026-03-09 20:35:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858936428550856,-74.03182749664691,52,6,3,2026-03-12 06:18:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.8637179648382745,-74.03141027085128,35,16,3,2026-02-12 16:26:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858410908677383,-74.03140161168687,83,9,1,2026-03-24 09:27:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858725098570069,-74.0314367103581,71,21,3,2026-03-19 21:39:00,discarded,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863709676109148,-74.03160577101067,41,8,2,2026-02-11 08:20:00,pending,True
Theft/Robbery,High,porton-cafe,Portón Café,4.8639221549022285,-74.03731485012374,65,20,4,2026-01-23 20:30:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.86383696608259,-74.0321128726681,59,8,1,2026-04-28 08:08:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858906719115802,-74.03167013646366,61,22,6,2026-03-01 22:12:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858757556185387,-74.031341587968,100,16,0,2026-02-16 16:42:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858625922376799,-74.03165674723286,39,14,2,2025-12-17 14:23:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858511837943007,-74.03152142034187,54,20,2,2026-03-11 20:37:00,pending,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863723007239799,-74.03139212670038,50,19,2,2026-01-21 19:36:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.8589657068154315,-74.03155893136665,100,8,1,2026-03-24 08:51:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858800133469553,-74.03167743151127,37,16,5,2025-11-22 16:12:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858771494483048,-74.03155069255706,58,18,0,2026-05-04 18:28:00,verified,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.858769647524914,-74.03152056578253,39,17,4,2026-05-08 17:30:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858372030555063,-74.03159530299041,60,14,0,2026-05-18 14:19:00,verified,True
Maintenance,Information,ad-portas,Ad Portas,4.86370422812324,-74.03222129551149,17,8,4,2026-05-15 08:13:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858752063475945,-74.03168277148724,51,23,5,2026-01-31 23:53:00,verified,True
Maintenance,Information,ad-portas,Ad Portas,4.863657462615534,-74.03218018811913,19,10,0,2025-12-22 10:03:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858787156905273,-74.03128938975136,62,20,1,2025-12-16 20:36:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858399466126408,-74.03169356500797,86,13,3,2026-04-02 13:58:00,pending,False
Maintenance,Information,ad-portas,Ad Portas,4.863794135785274,-74.03151698092547,61,17,4,2025-12-05 17:47:00,pending,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863811267153208,-74.03126877374393,61,9,1,2025-12-30 09:35:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858805278250261,-74.03156905384893,59,9,4,2025-11-28 09:45:00,pending,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858520434957092,-74.03155336372134,44,18,4,2026-01-16 18:58:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.8586913748278775,-74.03104306828666,27,21,1,2026-04-14 21:28:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858812252038074,-74.03182854317423,44,3,4,2026-01-23 03:14:00,pending,False
Suspicious Person,Medium,porton-cafe,Portón Café,4.863766790119393,-74.03743771599427,37,5,3,2026-04-16 05:48:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858531939258148,-74.0313700804502,41,11,4,2026-02-13 11:06:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863704937576875,-74.03170477126403,42,5,3,2026-04-09 05:05:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.8591037888178645,-74.03137921619553,25,18,3,2025-11-20 18:34:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858712290862954,-74.03163835729295,60,14,2,2026-04-29 14:03:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.86340224377847,-74.03176889457659,56,22,2,2026-03-18 22:41:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858848151038834,-74.0317460592814,45,20,4,2026-03-06 20:30:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.863497516406652,-74.03198433169302,36,20,1,2026-01-27 20:18:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858755996342192,-74.03175817679086,91,16,5,2026-03-14 16:22:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.859099431239402,-74.03129950694789,61,19,0,2026-02-09 19:45:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858578153185427,-74.03125261777015,71,22,3,2026-03-26 22:08:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858763763885629,-74.03135107318931,38,16,0,2025-12-15 16:29:00,verified,False
Maintenance,Information,porton-cafe,Portón Café,4.8635370949287875,-74.03842938020202,5,19,4,2026-03-20 19:16:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858624486369721,-74.03175555663638,69,22,2,2026-02-25 22:40:00,pending,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863210957586612,-74.03189901779467,51,17,0,2026-01-19 17:58:00,verified,True
Maintenance,Information,porton-cafe,Portón Café,4.863837254657813,-74.03788775864535,28,8,4,2026-03-13 08:19:00,verified,False
Theft/Robbery,High,ad-portas,Ad Portas,4.863643069918306,-74.03211560346043,85,8,1,2026-03-10 08:33:00,verified,True
Maintenance,Information,ad-portas,Ad Portas,4.8636997179086725,-74.03196308675086,15,17,2,2026-02-25 17:15:00,verified,True
Dark Zone,Medium,ad-portas,Ad Portas,4.863524405920941,-74.0316775930619,57,9,4,2026-05-15 09:54:00,discarded,False
Dark Zone,Medium,ad-portas,Ad Portas,4.864115805044844,-74.03221812619952,75,1,3,2026-01-29 01:55:00,pending,True
Suspicious Person,Medium,ad-portas,Ad Portas,4.863054373660144,-74.03178371403801,57,9,0,2026-04-27 09:48:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858731198373547,-74.03163053990396,77,11,1,2026-02-03 11:26:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858576399813068,-74.03162387295139,60,19,5,2025-12-13 19:00:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.86374710464579,-74.0320001638381,60,3,4,2026-03-20 03:56:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858736459904176,-74.03134342757623,57,11,0,2026-05-18 11:26:00,verified,True
Maintenance,Information,porton-cafe,Portón Café,4.8633832009978155,-74.03762505431206,23,9,6,2025-12-14 09:34:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858797074053086,-74.03151018031879,51,17,5,2026-03-07 17:46:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858930532979158,-74.03162431427776,56,4,4,2026-01-30 04:23:00,verified,True
Theft/Robbery,High,ad-portas,Ad Portas,4.86357934220427,-74.03181007248129,93,21,2,2026-04-08 21:41:00,verified,True
Maintenance,Information,porton-cafe,Portón Café,4.863714083269797,-74.0372129471092,30,9,4,2026-02-13 09:08:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858679200768327,-74.03136960940573,46,19,2,2026-01-14 19:14:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863737249905746,-74.03177505722175,51,16,1,2025-12-23 16:51:00,verified,True
Dark Zone,Medium,ad-portas,Ad Portas,4.863818547107631,-74.0320502882733,75,7,4,2026-04-03 07:04:00,pending,False
Maintenance,Information,ad-portas,Ad Portas,4.86333819478555,-74.03220867544512,28,22,3,2026-01-15 22:02:00,discarded,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863877498808189,-74.03147335207318,57,23,4,2025-12-05 23:54:00,verified,False
Maintenance,Information,porton-cafe,Portón Café,4.863546550645431,-74.03772617631145,15,11,2,2025-12-10 11:09:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858539567657697,-74.0313109760533,48,23,2,2026-02-25 23:33:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858509900560641,-74.03157027716833,84,18,2,2026-05-06 18:49:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858562255089439,-74.03167044407911,52,7,6,2025-12-07 07:05:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.8587239933142214,-74.03160738863507,44,17,4,2025-12-05 17:35:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858721409987472,-74.0317956168683,33,22,2,2025-12-03 22:38:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863424466733624,-74.03180837886069,53,20,4,2026-01-16 20:22:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.85897007124339,-74.03133446807536,48,17,2,2025-11-26 17:42:00,verified,True
Maintenance,Information,ad-portas,Ad Portas,4.863634295137629,-74.03212401174585,14,13,2,2026-01-14 13:29:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858617268272216,-74.03144145628792,40,7,1,2026-04-21 07:03:00,pending,True
Dark Zone,Medium,ad-portas,Ad Portas,4.863795803954273,-74.0311099044348,48,14,4,2026-05-08 14:38:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.86376051351663,-74.03144694240332,45,10,3,2025-12-18 10:43:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858719818496362,-74.03150348151983,51,11,0,2026-02-02 11:00:00,verified,True
Suspicious Person,Medium,ad-portas,Ad Portas,4.863408097064844,-74.0317131959303,55,2,2,2026-03-11 02:58:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.864075343082339,-74.03133929166957,40,20,1,2026-03-17 20:58:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.8585215304874225,-74.03133153587265,52,7,4,2026-04-03 07:55:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.8642969408799654,-74.03204631931415,5,7,4,2026-05-01 07:32:00,pending,False
Dark Zone,Medium,porton-cafe,Portón Café,4.863429121470911,-74.0380941687173,43,7,0,2026-01-19 07:16:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858523173467689,-74.0314759212427,84,16,2,2026-04-29 16:48:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.859050234167843,-74.03131591523235,43,20,1,2026-02-10 20:40:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858495317065731,-74.0314076161657,34,6,0,2026-04-20 06:32:00,verified,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.8590412917531705,-74.03127011197584,44,17,1,2025-12-09 17:54:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858332373094182,-74.03123522552517,48,16,3,2025-12-11 16:11:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858922563262395,-74.03182488553175,42,12,1,2025-12-30 12:58:00,verified,False
Suspicious Person,Medium,porton-cafe,Portón Café,4.863550048739944,-74.03744290582188,44,18,2,2026-05-06 18:25:00,pending,True
Maintenance,Information,porton-cafe,Portón Café,4.863673569986469,-74.03777728612882,13,18,0,2026-05-04 18:32:00,verified,True
Dark Zone,Medium,ad-portas,Ad Portas,4.863676088689513,-74.03151722446637,58,9,3,2026-01-08 09:08:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858450071581633,-74.03181282283414,65,5,4,2026-04-03 05:21:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858741462802396,-74.0316556973073,98,12,3,2026-03-05 12:46:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.8586981349268585,-74.03127014056318,50,20,3,2025-12-25 20:03:00,pending,False
Dark Zone,Medium,ad-portas,Ad Portas,4.864258224377465,-74.03102086366302,47,21,1,2026-02-17 21:26:00,verified,True
Suspicious Person,Medium,porton-cafe,Portón Café,4.863743314190191,-74.03726338721513,66,3,4,2026-01-16 03:59:00,pending,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863350522961826,-74.031448579416,62,17,5,2026-03-14 17:57:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858323252102715,-74.03174265170253,25,14,5,2026-04-04 14:49:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858621118633111,-74.03136249154883,98,16,3,2026-04-30 16:15:00,verified,True
Maintenance,Information,ad-portas,Ad Portas,4.863662228434126,-74.03107155378177,5,8,4,2026-03-06 08:42:00,discarded,True
Dark Zone,Medium,ad-portas,Ad Portas,4.863128985268194,-74.03174521907955,54,9,0,2026-02-23 09:01:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858668461050381,-74.03191948842,78,18,4,2026-04-17 18:21:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863248659149849,-74.03145513098046,54,12,6,2026-02-01 12:49:00,verified,True
Suspicious Person,Medium,ad-portas,Ad Portas,4.863358036064102,-74.03192854676693,37,18,4,2026-03-27 18:23:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858662464180545,-74.03131497153589,68,17,1,2026-03-10 17:52:00,verified,True
Theft/Robbery,High,ad-portas,Ad Portas,4.863791213954656,-74.03193510304735,70,14,4,2026-02-06 14:45:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858653593928009,-74.03171304846448,73,18,1,2025-12-09 18:25:00,pending,False
Dark Zone,Medium,porton-cafe,Portón Café,4.863309424421482,-74.03686758246013,50,18,4,2026-04-24 18:28:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863430082347603,-74.0316374080357,48,4,1,2026-04-14 04:09:00,discarded,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858630806080093,-74.03138316665998,59,16,3,2025-12-25 16:25:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863480849655717,-74.03195332729626,46,16,4,2026-03-27 16:58:00,verified,True
Theft/Robbery,High,ad-portas,Ad Portas,4.86294942365058,-74.03232907642487,96,18,1,2025-12-30 18:59:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.8641334903140505,-74.03182261441582,56,9,3,2025-12-25 09:31:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.8587372500309085,-74.0308902238383,63,17,1,2025-12-23 17:05:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858649416481704,-74.03169710808811,30,20,2,2026-03-04 20:04:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.8587156927271735,-74.03165727014905,32,7,0,2026-02-16 07:53:00,verified,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.8585456854231515,-74.03172230960071,70,8,3,2026-01-01 08:59:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.85885132795139,-74.03150759452825,97,8,4,2026-01-23 08:35:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.8636632104922946,-74.03206751368053,68,22,0,2026-04-20 22:09:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.863801673013105,-74.03213789846173,12,20,6,2025-11-30 20:01:00,discarded,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.8633773145239845,-74.03227611989239,61,13,2,2026-04-15 13:40:00,pending,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.859056883328094,-74.03178571351475,56,9,0,2026-03-23 09:51:00,verified,True
Dark Zone,Medium,ad-portas,Ad Portas,4.863444807229263,-74.0319178501535,42,15,4,2026-03-06 15:13:00,verified,False
Theft/Robbery,High,ad-portas,Ad Portas,4.863380802769096,-74.03170359134882,70,7,0,2026-03-02 07:23:00,verified,True
Dark Zone,Medium,ad-portas,Ad Portas,4.863721137047734,-74.03174309524378,47,7,3,2026-01-22 07:03:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863367730901388,-74.03195370853223,59,21,2,2026-02-11 21:46:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858775183437524,-74.03170151104895,51,16,4,2026-02-06 16:05:00,verified,False
Theft/Robbery,High,ad-portas,Ad Portas,4.863865416137012,-74.03239076211244,86,6,1,2025-12-02 06:31:00,pending,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863441212872316,-74.03149476053257,40,14,2,2025-12-17 14:56:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863098535369801,-74.03237401697515,50,17,1,2026-04-14 17:23:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.8587269445003445,-74.03168686332502,57,18,1,2026-04-28 18:07:00,verified,False
Suspicious Person,Medium,porton-cafe,Portón Café,4.863216695987546,-74.0374768239396,35,8,4,2025-12-26 08:32:00,verified,True
Maintenance,Information,ad-portas,Ad Portas,4.86344444916766,-74.03170404053148,5,8,0,2026-02-09 08:39:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858598088891154,-74.03130474143815,43,18,2,2026-03-25 18:19:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858842138422413,-74.03173194137092,86,15,1,2026-04-21 15:41:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858963313724131,-74.03200032890003,40,20,5,2025-12-27 20:15:00,discarded,True
Theft/Robbery,High,ad-portas,Ad Portas,4.863813121638154,-74.03180421815442,84,8,5,2026-03-07 08:44:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858554202962656,-74.0314886820425,78,7,1,2026-05-19 07:13:00,discarded,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858908556412332,-74.03145511583133,84,21,1,2026-03-17 21:21:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858592624606775,-74.0316035212448,44,15,5,2026-04-25 15:15:00,verified,False
Suspicious Person,Medium,porton-cafe,Portón Café,4.863627890428476,-74.03758329534425,53,8,1,2026-05-19 08:45:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.859090080159729,-74.0313317750593,46,22,0,2026-02-16 22:51:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.86400036417665,-74.03188623014921,25,9,2,2026-05-06 09:30:00,pending,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.858473382737817,-74.0318801583842,45,7,3,2025-12-25 07:47:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858678683675838,-74.03117071253754,83,7,2,2025-12-03 07:21:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858631179894238,-74.03134011888376,53,11,6,2026-02-01 11:41:00,pending,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863710684367433,-74.03141465392244,32,13,5,2026-01-03 13:53:00,discarded,False
Maintenance,Information,ad-portas,Ad Portas,4.863983126212962,-74.031587601437,10,10,3,2026-03-19 10:51:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858801556373221,-74.03105186142844,52,7,2,2026-02-11 07:42:00,discarded,False
Suspicious Person,Medium,porton-cafe,Portón Café,4.86359864411726,-74.03759480826986,39,18,5,2026-04-18 18:00:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858841067163309,-74.03167721676517,50,8,4,2026-02-06 08:43:00,pending,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.86349670276597,-74.0315314080697,54,21,5,2026-05-02 21:18:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858882507988851,-74.03160800327976,46,12,4,2026-04-24 12:44:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.863346370885266,-74.03190071730403,19,8,6,2026-03-29 08:34:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858826397723329,-74.03169043306482,60,16,1,2025-12-23 16:29:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.8640466913576414,-74.0315576260387,72,4,4,2026-03-20 04:26:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858520242160179,-74.03175493094065,28,23,0,2026-02-23 23:24:00,discarded,False
Maintenance,Information,ad-portas,Ad Portas,4.864088813293447,-74.03146125373746,14,18,2,2025-12-24 18:22:00,discarded,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863723990587896,-74.03217319561892,79,19,3,2025-11-20 19:19:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858700844236395,-74.03148412104107,88,15,3,2026-01-22 15:09:00,discarded,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863784302769521,-74.03163344639029,40,17,0,2025-12-15 17:28:00,pending,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858769293671427,-74.0311295951007,66,9,3,2026-03-12 09:13:00,pending,True
Theft/Robbery,High,puente-madera,Puente Madera,4.8589936373253275,-74.03160824313528,68,20,3,2026-02-05 20:42:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.85864984261598,-74.03149485501754,93,20,2,2026-02-04 20:09:00,discarded,False
Dark Zone,Medium,porton-cafe,Portón Café,4.863210507074057,-74.03699813490417,48,9,4,2026-02-27 09:13:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858589623786011,-74.03170842087505,30,6,2,2026-01-07 06:24:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863886951175188,-74.03169367281312,34,18,2,2026-01-21 18:45:00,discarded,False
